row,payload,status,error
92,"{'batch_id': 93, 'measure_unit_id': 2, 'name': 'GRES. 22X90 NEGRESSCO AC', 'code': 'GRESNEALUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
93,"{'batch_id': 95, 'measure_unit_id': 2, 'name': 'GRES. 59X59 NERO CLASSIC POL', 'code': 'GRESNECLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
95,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 PALESTRA BEIGE', 'code': 'GRESPABLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
96,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 PALADIO GREEN POL', 'code': 'GRESPAGLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
97,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 PRADA ACERO POL', 'code': 'GRESPRALUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
98,"{'batch_id': 99, 'measure_unit_id': 2, 'name': 'GRES. 63X120 PRISMA RED AC', 'code': 'GRESPRRLUME02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
99,"{'batch_id': 99, 'measure_unit_id': 2, 'name': 'GRES. 63X120 QUASAR SILVER TEXTURADO', 'code': 'GRESQUSLUME02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
100,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 SPLENDORE POL', 'code': 'GRESSPPLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
101,"{'batch_id': 98, 'measure_unit_id': 2, 'name': 'GRES. 62X119 VIENNA POL', 'code': 'GRESVIPLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
102,"{'batch_id': 10, 'measure_unit_id': 2, 'name': 'CERA. 60X60 ROJO LUSTRE SEMIBRILLO', 'code': 'PAPAR6000RL10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
103,"{'batch_id': 8, 'measure_unit_id': 2, 'name': 'CERA. 60X60 ECO CONCRETO SEMIBRILLO', 'code': 'PAPAR60051O10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
104,"{'batch_id': 7, 'measure_unit_id': 2, 'name': 'CERA. 60X60 ECO BOTICCINO SEMIBRILLO', 'code': 'PAPAR600IW810001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
105,"{'batch_id': 7, 'measure_unit_id': 2, 'name': 'CERA. 60X60 ECO DORATO SEMIBRILLO', 'code': 'PAPAR600IW910001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
106,"{'batch_id': 7, 'measure_unit_id': 2, 'name': 'CERA. 60X60 ECO CARRARA REAL SEMIBRILLO', 'code': 'PAPAR600IY310001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
